,MSE on Validation,Score on discriminator (accuracy)
"{'GEN': 'edge_tap', 'DIS': 'edge_tap', 'DATA': 'edge_tap'}",2.6838985900878907,0.5310768
"{'GEN': 'edge_tap', 'DIS': 'edge_tap', 'DATA': 'edge_shear'}",0.46144482421875,0.5358573794364929
"{'GEN': 'edge_tap', 'DIS': 'edge_tap', 'DATA': 'surface_tap'}",6.108256225585937,0.5413817167282104
"{'GEN': 'edge_tap', 'DIS': 'edge_tap', 'DATA': 'surface_shear'}",9.056255828857422,0.543936014175415
"{'GEN': 'edge_tap', 'DIS': 'edge_shear', 'DATA': 'edge_tap'}",2.6838985900878907,0.5150913000106812
"{'GEN': 'edge_tap', 'DIS': 'edge_shear', 'DATA': 'edge_shear'}",0.46144482421875,0.5177643299102783
"{'GEN': 'edge_tap', 'DIS': 'edge_shear', 'DATA': 'surface_tap'}",6.108256256103515,0.527630090713501
"{'GEN': 'edge_tap', 'DIS': 'edge_shear', 'DATA': 'surface_shear'}",9.056255798339844,0.5337297916412354
"{'GEN': 'edge_tap', 'DIS': 'surface_tap', 'DATA': 'edge_tap'}",2.6838985900878907,0.5045108795166016
"{'GEN': 'edge_tap', 'DIS': 'surface_tap', 'DATA': 'edge_shear'}",0.46144482421875,0.504524827003479
"{'GEN': 'edge_tap', 'DIS': 'surface_tap', 'DATA': 'surface_tap'}",6.108256256103515,0.504612922668457
"{'GEN': 'edge_tap', 'DIS': 'surface_tap', 'DATA': 'surface_shear'}",9.056255859375,0.5045794248580933
"{'GEN': 'edge_tap', 'DIS': 'surface_shear', 'DATA': 'edge_tap'}",2.6838985900878907,0.4995717704296112
"{'GEN': 'edge_tap', 'DIS': 'surface_shear', 'DATA': 'edge_shear'}",0.46144482421875,0.4995287358760834
"{'GEN': 'edge_tap', 'DIS': 'surface_shear', 'DATA': 'surface_tap'}",6.108256225585937,0.4994434118270874
"{'GEN': 'edge_tap', 'DIS': 'surface_shear', 'DATA': 'surface_shear'}",9.056255828857422,0.4993177652359009
"{'GEN': 'edge_shear', 'DIS': 'edge_tap', 'DATA': 'edge_tap'}",6.7806911926269535,0.5244960188865662
"{'GEN': 'edge_shear', 'DIS': 'edge_tap', 'DATA': 'edge_shear'}",2.512529144287109,0.5288306474685669
"{'GEN': 'edge_shear', 'DIS': 'edge_tap', 'DATA': 'surface_tap'}",7.17624185180664,0.536845326423645
"{'GEN': 'edge_shear', 'DIS': 'edge_tap', 'DATA': 'surface_shear'}",9.556110412597656,0.5462655425071716
"{'GEN': 'edge_shear', 'DIS': 'edge_shear', 'DATA': 'edge_tap'}",6.780691162109375,0.5122207999229431
"{'GEN': 'edge_shear', 'DIS': 'edge_shear', 'DATA': 'edge_shear'}",2.512529144287109,0.5145368576049805
"{'GEN': 'edge_shear', 'DIS': 'edge_shear', 'DATA': 'surface_tap'}",7.17624185180664,0.5256485342979431
"{'GEN': 'edge_shear', 'DIS': 'edge_shear', 'DATA': 'surface_shear'}",9.556102600097656,0.5347521901130676
"{'GEN': 'edge_shear', 'DIS': 'surface_tap', 'DATA': 'edge_tap'}",6.7806911926269535,0.5044683218002319
"{'GEN': 'edge_shear', 'DIS': 'surface_tap', 'DATA': 'edge_shear'}",2.512529144287109,0.5044723153114319
"{'GEN': 'edge_shear', 'DIS': 'surface_tap', 'DATA': 'surface_tap'}",7.176241882324219,0.5045913457870483
"{'GEN': 'edge_shear', 'DIS': 'surface_tap', 'DATA': 'surface_shear'}",9.5561025390625,0.5047250390052795
"{'GEN': 'edge_shear', 'DIS': 'surface_shear', 'DATA': 'edge_tap'}",6.7806911926269535,0.4995859265327453
"{'GEN': 'edge_shear', 'DIS': 'surface_shear', 'DATA': 'edge_shear'}",2.5125291748046874,0.4995346367359161
"{'GEN': 'edge_shear', 'DIS': 'surface_shear', 'DATA': 'surface_tap'}",7.176241882324219,0.4994439780712127
"{'GEN': 'edge_shear', 'DIS': 'surface_shear', 'DATA': 'surface_shear'}",9.556102630615234,0.4993199706077575
"{'GEN': 'surface_tap', 'DIS': 'edge_tap', 'DATA': 'edge_tap'}",6.893269409179688,0.5134029388427734
"{'GEN': 'surface_tap', 'DIS': 'edge_tap', 'DATA': 'edge_shear'}",6.782687194824219,0.5154915452003479
"{'GEN': 'surface_tap', 'DIS': 'edge_tap', 'DATA': 'surface_tap'}",7.526499267578125,0.5245873928070068
"{'GEN': 'surface_tap', 'DIS': 'edge_tap', 'DATA': 'surface_shear'}",8.850926239013672,0.5345975160598755
"{'GEN': 'surface_tap', 'DIS': 'edge_shear', 'DATA': 'edge_tap'}",6.893269409179688,0.5074561834335327
"{'GEN': 'surface_tap', 'DIS': 'edge_shear', 'DATA': 'edge_shear'}",6.782687194824219,0.5083330869674683
"{'GEN': 'surface_tap', 'DIS': 'edge_shear', 'DATA': 'surface_tap'}",7.526491485595703,0.5214726328849792
"{'GEN': 'surface_tap', 'DIS': 'edge_shear', 'DATA': 'surface_shear'}",8.850926300048828,0.5316832661628723
"{'GEN': 'surface_tap', 'DIS': 'surface_tap', 'DATA': 'edge_tap'}",6.893269409179688,0.5044283270835876
